,link,site,category,article,article_date,verbs,quantity
0,https://times.mw/malawi-cannabis-gets-10-million-market/,times.mw,Cannabis,"Home/Business/Malawi cannabis gets $10 million market
Business
Malawi cannabis gets $10 million market
Justin Mkweu
November 19, 2021
1,139 Less than a minuteAdvertisement
The United States Cannabis Association (USCA) has committed $10 million (about K8.2 billion) to the purchase of industrial hemp, from some 50 licensed cooperatives across the country.
The association is expected to purchase 229,000 metric tonnes of the commodity yearly to be processed for different purposes in the United States.
In an interview, USCA Chief Executive Officer Wezi Ngalamira said the association will be buying cannabis at $80 per kilogramme for flowers and $2 per kilogramme for the grain.
Advertisement
“We are not middlemen but we are here to provide a guaranteed market which will purchase the leaf for processing. When we harvest flowers, we have already started the processing phase; therefore, the country’s industry will also benefit greatly,” Ngalamira said.
Womeecin Mulanje Farmers Limited Treasurer Robisa Inglis said they have been fully equipped with knowledge on cultivation of the crop and hopes to maximise earnings from the same.
“This ready market provided by USCA has increased our confidence to cultivate cannabis in high volumes. At first, we did not know who would buy our crop when we cultivate it but now we are glad that the buyers are ready to buy us at good prices,” Inglis said.
Advertisement
Industrial and medicinal cannabis was legalised last year after the Cannabis Regulatory Authority was formed.
Facebook Notice for EU! You need to login to view and post FB Comments!
Justin Mkweu
Justin Mkweu is a fast growing reporter who currently works with Times Group on the business desk.
He is however flexible as he also writes about current affairs and national issues.
Advertisement
Tags
Cannabis Regulatory Authority
Usca
Wezi Ngalamira",2022-03-10 00:00:00,"get, get, commit, license, expect, purchase, process, say, buy, provide, guarantee, purchase, harvest, start, benefit, say, say, equip, maximise, provide, increase, cultivate, know, buy, cultivate, buy, say, legalise, form, need, login, view, post, grow, work, write","229,000 metric tonnes"
1,https://times.mw/cannabis-could-fetch-k180m-ha/,times.mw,Cannabis,"Home/Business/‘Cannabis could fetch K180m/ha’
Business
‘Cannabis could fetch K180m/ha’
Feston Malekezo
October 28, 2021
1,019 1 minute readAdvertisement
CHONGWE—We hope that the figures we are getting from other countries will be a benchmark
One of the cannabis buyers, United States Cannabis Association (Usca), has hinted that one hectare of cannabis could fetch up to K180 million from an investment of around K25 million to K30 million on a hectare.
The cannabis buyer said the cost analysis is based on prices sourced from countries such as Lesotho which is doing well with the crop.
Usca Director of Operations Oliver Ndhlovu said, if properly cultivated, farmers could produce around eight to 10 tonnes of cannabis per hectare and get around $5,000 per kilogramme.
Advertisement
Ndhlovu made the remarks on Tuesday in Mzimba District during a land verification exercise of cannabis fields of cooperatives, companies and partnerships who have registered to plant the crop this year.
“We are doing our own analysis as Malawi. We are working with Cannabis Regulatory Authority (CRA), Ministry of Agriculture and Invergro, which is an experienced company dealing with cannabis,” he said.
Figures show that, for one hectare, farmers require K8.8 million for a packet of 20,000 seeds.
Advertisement
On the onset, farmers require cultivation, processing or transportation lincence, police clearance, a greenhouse at the farm, reliable water source, labour and security plan that would prevent access to industrial hemp premises by unauthorised persons.
Meanwhile, some farmers have started raising fears over what they describe as stiff regulations in the cultivation of the leaf.
One of the farmers, Paul Chongwe, who is Chairperson of the United Organic Producers Cooperative, said most farmers were still not aware how much the commodity could be fetching.
The cooperative has 105 members, three farms, with 155 cumulative hectares.
“We are also still looking at what a hectare might bring in terms of rewards. But since the crop is new in Malawi, we hope that the figures we are getting from other countries will be a benchmark for us,” he said.
Malawi legalised cultivation of industrial and medicinal Cannabis Sativa in July 2020 which saw the establishment of CRA to regulate the cannabis industry as provided for in the Cannabis Regulation Act 2020.
Facebook Notice for EU! You need to login to view and post FB Comments!
Feston Malekezo
Advertisement
Tags
Cannabis Regulatory Authority
Invergro
Usca",2022-09-13 00:00:00,"fetch, fetch, hope, get, hint, fetch, say, base, source, do, say, cultivate, produce, get, make, register, plant, do, work, deal, say, show, require, require, prevent, start, raise, describe, say, fetch, have, look, bring, hope, get, say, legalise, see, regulate, provide, need, login, view, post",up to K180 million
4,https://www.nyasatimes.com/cannabis-investors-woo-malawi-on-industrial-hemp/,www.nyasatimes.com,Cannabis,"Cannabis investors woo Malawi on Industrial hempOctober 30, 2018 Owen Khamula - Nyasa Times 13 CommentsA group of investors on industrial hemp are in the country to lobby the government make regulations which would allow the investors get licence to buy cannabis from the country considered to have economic, medical and nutritional value.
Invegrow Limited, a company that was established in 2013 designed to grow and process Industrial Hemp in the country, plans to start commercial growing of the crop this year.
A South Africa based Canadian cannabis investor Graham Macntosh from Green Quest Pharmaceuticals said Malawi is losing out in cannabis trade.
He said Green Quest Pharmaceuticals is looking for 50 000 hectare of land to grow the industrial hemp used in the manufacturing of certain goods including clothes as well as medicine.
“Everyone should be allowed to grow cannabis without any legal impingements from a small one hectare to 101 hectare of land,” he said.
The cannabis investor said industrial hemp can take over tobacco as the largest forex earner, saying tobacco is now facing smoky future whilst cannabis faces bright future in investments.
Macntosh said currently, cannabis is a US$7 billion investment worldwide, saying within a year, it is expected to grow to US$10 billion.
Ntchisi north MP Boniface Kadzamira said although parliament legalized the testing of industrial hemp, which have since been done at Chitedze Research Station in Lilongwe and Chitala in Salima, cannabis remains illegal in Malawi.
He said to push the legalization on fast track, the government can put in regulations to allow people grow industrial hemp and investors get licence to buy the cannabis from Malawian farmers.
While cultivation or selling of cannabis sativa is prohibited by law, government says the industrial hemp will help boost the economy.
Industrial hemp and marijuana are from the same family of crops but industrial hemp does not contain the psychoactive chemical agents found in marijuana.
Meanwhile, Invegrow Limited, a company that was established in 2013 designed to grow and process Industrial Hemp in the country, plans to start commercial growing of the crop this year.
The firm, which has been working with government to research the viability of hemp as a commercial crop, has started mobilising resources for its factory in Lilongwe.
“Industrial hemp has more economic opportunities as we will be extracting the oil for fibre from the seed and produce oil products and it is also edible,” said Director at Invegrow Limited, Nebert Nyirenda, who adds that last year, the company imported body wash, shampoo and face wash with hemp seed oil just to give Malawians a feel of the products from Industrial Hemp.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempInvegrow Limited",2018-10-30 00:00:00,"woo, lobby, make, allow, get, buy, consider, have, establish, design, grow, process, plan, start, base, say, lose, say, look, grow, use, include, allow, grow, say, say, take, say, face, face, say, say, expect, grow, say, legalize, do, remain, say, push, put, allow, grow, get, buy, prohibit, say, help, boost, contain, find, establish, design, grow, process, plan, start, work, research, start, mobilise, have, extract, produce, say, add, import, give, care",50 000
7,https://www.nyasatimes.com/malawi-cannabis-regulatory-body-issues-86-licences-for-industrial-hemp-cultivation/,www.nyasatimes.com,Cannabis,"Malawi Cannabis regulatory body issues 86 licences for industrial hemp cultivationApril 9, 2021 Owen Khamula - Nyasa Times 4 CommentsOfficials from the Cannabis Regulatory Authority (CRA) say they have issued 86 licenses to 35 companies and cooperatives to venture into cannabis cultivation for industrial hemp production.
Kadzamira (c) says only 35 companies satisfied the requirements.
Board chairperson of CRA, Boniface Kadzamila, announced Friday  afternoon in Lilongwe.
Kadzamira said that a total of 41 companies applied but only 35 companies satisfied the requirements.
He said so far, the authority has issued licenses for cultivation, processing and storage and has not yet issued any license for export.
Cannabis production is bringing hope in the economy that it will complement tobacco, the country’s main source of foreign exchange.
Figures show that over a 10-year period, earnings from tobacco have dropped by about 45 percent.
A recent analysis by Invegrow Limited, one of the firms that conducted research on industrial hemp,found that a kilogramme of industrial hemp could fetch about K32 000 on the market and that there is potential for direct annual benefit to Malawians in excess of K3 billion on 16.5 hectares or K195 million per five hectares.
The analysis further indicated that the crop has ready markets whose global value chain is worth about $9 billion (about K6. 6 trillion), giving local investors a basis to take up cannabis production.
The Licensed Organizations are Medigrow, Malawi Mangoes, Africa Gold Ltd, Ortusol Ltd, SADM, Tilimenawo Cannabis Club, Unity Cooperative, Banana 2017, Hempharmaceuticals, ARET, Cannasun Ltd, SABA Agro Ltd, Sikelela Commodities Ltd, Lesta International, Profix eco-Industries Ltd, Bio Sil Technology Africa Limited, B&M Landscaping & General, Greenway, Med-Can Ltd, Organic Cannabis Farmers Cooperative, AKA, Kuwala Agriculture Ltd, Prime Pharmaceuticals, M’mbwelwa Investment Limited, Pharmanova, Dynamic Traders, Capital Food Ltd, Bio-lab Agencies, Milanzi Holdings, Pollen Farm Limited, Women in Vision, Mg Labs Limited, College of Medicine and Rasmusking Company Limited.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Boniface Kadzamiraindustrial hemp",1986-09-10 00:00:00,"issue, say, issue, venture, say, satisfy, announce, say, apply, satisfy, say, issue, issue, bring, complement, show, drop, conduct, find, fetch, be, indicate, have, give, take, care",16.5 hectares 6 trillion
15,https://www.nyasatimes.com/malawi-government-urges-cannabis-growers-to-form-cooperatives/,www.nyasatimes.com,Cannabis,"Malawi Government urges cannabis growers to form cooperativesNovember 1, 2021 Brighton Tchongwe – Nyasa Times 1 CommentThe Minister of Agriculture Lobin Lowe has urged cannabis growers to form cooperatives in order to have enhanced bargaining power, which is critical in realizing more benefits in their farming business.
Lowe made the remarks on Friday during a cooperatives training workshop for cannabis growers in Traditional Authority Nyoka in Mchinji District.
The minister said cannabis production, if taken seriously, has the potential to help the country in achieving the Malawi 2063 development blueprint, which has a pillar of agriculture commercialization.
Minister of Agriculture, Lobin Lowe : Form coops
He said the plant is regulated unlike other crops like maize and beans; hence, the need for those certified farmers to be equipped with expertise so that they meet International standards.
“The trainings are an opportunity to our co-operatives to be well equipped with high standards of skills to meet international standards because unlike other crop they rely on export markets which are highly competitive, hence for our farmers to be competitive, they need to have highly skilled co-operatives,” said Lowe.
However, he warned Malawians with intentions to grow the crop against rushing before getting a license, stressing that doing so would be contravening the law governing the production of cannabis in Malawi.
In her remarks, the United States Cannabis Association Chief Executive Officer, Wezzi Ngalamira, said his organisation will act as bridge between farmers and already identified buyer.
Ngalamira said the association will come up with a system whereby they are going to buy from different farmers and cooperatives on behalf of the US branch.
On prices, she assured the farmers that they will not be duped as it is with other industries “because government will regulate the prices so that there is a win-win situation between the farmer and the buyer.”
The Cannabis Regulatory Authority (CRA) chairperson Boniface Kadzamira expressed optimism that the country stands to benefit from the certified industrial hemp.
Kadzamira warned unlicensed farmers against growing cannabis
Kadzamira said, so far, they have licensed about 72 both local and international companies.
“Let me warn those that haven’t been licensed not to engage themselves into this farming because doing so is contravening the law of the Cannabis Act. The penalties for non-compliance range from 50 million kwacha and 25 years imprisonment, hence people should not dare to taste the law,” he said.
But Kadzamira disclosed that the government is considering issuing some special licenses to local farmers who may wish to grow local varieties so that Malawians can also benefit from their locally produced variety.
Meanwhile, retired renowned international boxer who after retiring from his boxing career is now into cannabis growing in the US Mike Tyson will be the ambassador of the cannabis across the world.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",2021-11-01 00:00:00,"urge, form, urge, form, enhance, realize, make, say, take, have, help, achieve, have, say, regulate, certify, equip, meet, equip, meet, rely, need, have, say, warn, grow, rush, get, stress, do, contravene, govern, say, act, identify, say, come, go, buy, assure, dupe, regulate, be, express, stand, benefit, certify, warn, grow, say, license, let, warn, license, engage, do, contravene, dare, taste, say, disclose, consider, issue, wish, grow, benefit, produce, retire, retire, grow, care",50 million kwacha
19,https://www.nyasatimes.com/cannabis-association-training-87-graduate-interns-to-capacitate-smallholder-farmer-cooperatives-to-produce-best-cannabis/,www.nyasatimes.com,Cannabis,"Cannabis association training 87 graduate interns to capacitate smallholder farmer cooperatives to produce ‘best cannabis’December 28, 2021 Wanangwa Mtawali - Nyasa Times 1 CommentThe United States Cannabis Association (USCA) Malawi is training 87 young graduates from various institutions of higher learning, who will help build the capacity of USCA smallholder farmer cooperatives in the new value chain of cannabis production.
USCA Malawi reportedly advocates for the growth of a responsible and legitimate cannabis industry in the country.
Wezi Ngalamira talking to journalists and a cross section of the young graduate interns
The association’s Chief Executive Officer, Wezi Ngalamira, told journalists on Monday that the four-day training, which began on Sunday at Lake Malawi Anglican University in Lilongwe, has brought together graduates from Lilongwe University of Agriculture and Natural Resources, Mwimba Institute of Agriculture and University of Malawi, among other institutions.
Ngalamira said each graduate intern, after being trained on growing of cannabis, will be attached to a USCA farmer cooperative, where there is a fully fledged automated greenhouse, solar panel, borehole and water tank, among other necessary facilities and technologies.
“After we train them, theoretically and practically, we will deploy them to our cooperatives to train farmers for 16 weeks so they are able to handle those facilities and technologies in order to produce the best crop for their own benefit and national development. So we want the interns to be well equipped for the task,” Ngalamira said.
In his remarks, one of the interns, Daniel Mbaya, commended USCA for organizing the training, saying it will equip him, as an agriculturalist, with additional information in the management of the agriculture field, especially the new value chain of cannabis production.
Exif_JPEG_420
“Being a new crop, there is less information about it. A lot of farmers are not aware of the production requirements. So this training is vital, for the additional information will assist us in making farmers produce the best crop,” Mbaya said.
Cannabis production is bringing hope in the economy of Malawi and there are high expectations that it will complement tobacco, which is the country’s main source of foreign exchange.
A recent analysis by Invegrow Limited, one of the firms that conducted research on industrial hemp, found that a kilogram of industrial hemp could fetch about MK32 000 and that there is potential for direct annual benefit to Malawians in excess of K3 billion on 16.5 hectares or K195 million per five hectares.
The analysis further indicated that the crop has ready markets whose global value chain is worth about $9 billion (about K6. 6 trillion), giving local investors a basis to take up cannabis production.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",1987-09-10 00:00:00,"produce, train, help, build, advocate, talk, tell, begin, bring, say, train, grow, attach, be, fledge, automate, train, deploy, train, handle, produce, want, equip, say, commend, organize, say, equip, be, assist, make, produce, say, bring, be, complement, conduct, find, fetch, be, indicate, have, give, take, care",16.5 hectares 6 trillion
27,https://www.nyasatimes.com/israeli-company-in-malawi-for-possible-industrial-hemp-investment/,www.nyasatimes.com,Cannabis,"Israeli company in Malawi for possible industrial hemp investmentAugust 23, 2021 Owen Khamula – Nyasa Times 1 CommentAn Israeli company – Malawi-Israeli Gold Limited – has been in the country for the past few days and their chief focus is ascertain whether they can venture into the cultivation and processing of industrial hemp into medicinal hemp-products.
Geri Kolin, who is the company’s senior cannabis consultant, told local press that his outfit intends to open a training institution for medicinal cultivation and processing which will target local farmers in the country.
Agri MinistLowe: Companies have up until next week to deliver.
“The company’s vision is to create Africa’s first cannabis hub in Malawi,” Kolin, whose team has also met agriculture minister Lobin Lowe for license processing from the Cannabis Regulatory Authority, said.
In an interview, agriculture ministry spokesman, Grecian Lungu, said the company’s entry into the country was timely.
“[We are] optimistic that local farmers shall benefit from projects to be implemented by the company,” Lungu said.
In April, 2021 officials from the Cannabis Regulatory Authority (CRA) said they had issued 86 licenses to 35 companies and cooperatives to venture into cannabis cultivation for industrial hemp production, board chairperson for the Authority Boniface Kadzamira had said.
Kadzamira said that a total of 41 companies applied but only 35 companies satisfied the requirements.
He said so far, the authority has issued licenses for cultivation, processing and storage and has not yet issued any license for export.
Cannabis production is bringing hope in the economy that it will complement tobacco, the country’s main source of foreign exchange.
Figures show that over a 10-year period, earnings from tobacco have dropped by about 45 percent.
A recent analysis by Invegrow Limited, one of the firms that conducted research on industrial hemp, found that a kilogramme of industrial hemp could fetch about K32 000 on the market and that there is potential for direct annual benefit to Malawians in excess of K3 billion on 16.5 hectares or K195 million per five hectares.
The analysis further indicated that the crop has ready markets whose global value chain is worth about $9 billion (about K6. 6 trillion), giving local investors a basis to take up cannabis production.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",2021-08-23 00:00:00,"venture, tell, intend, open, target, have, deliver, create, meet, say, say, benefit, implement, say, say, issue, venture, say, say, apply, satisfy, say, issue, issue, bring, complement, show, drop, conduct, find, fetch, be, indicate, have, give, take, care",16.5 hectares 6 trillion
33,https://www.nyasatimes.com/medical-drug-factory-to-be-constructed-in-lilongwe/,www.nyasatimes.com,Cannabis,"Medical drug factory to be constructed in Lilongwe July 28, 2022 Phillip Pasula-Nyasa Times Be the first to commentA company known as Malawi Israel Gold has been allocated 11 hectares of land in Lilongwe where a drug manufacturing factory will be constructed.
There will be a cannabis farm on the land, a warehouse and the factory that will be manufacturing drugs from medicinal cannabis. Malawi Israel Gold is in partnership with Kamuzu College of Medicine in this project that will cost approximately 100 million US Dollars.
Society of Medical Doctors in Malawi, Dr. Mithi
An official from the company, Emma Masangano Sendeza, has told the local media that representatives of the company will soon jet into the country to sign an agreement with Kamuzu College of Medicine before rolling out the project. Sendeza added that many trading stakeholders from outside the country have shown much interest in the project.
“We have been discussing with clients and investors that we will be working with. Some are from Europe, Australia and Israel. We want people to be accessing advanced medical help right here in Malawi,” she explained.
President of Society of Medical Doctors in Malawi, Dr Victor Mithi, has said the project will ease problems that the country faces when importing medical drugs.
“Cannabis has so many components that help in manufacturing drugs. This project is feasible and it will help the country to ensure availability of essential drugs,” he said. 
Malawi legalised cultivation of medicinal and industrial hemp in 2020.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print",2022-07-28 00:00:00,"construct, know, allocate, construct, manufacture, cost, tell, jet, sign, roll, add, show, discuss, work, want, access, explain, say, ease, face, import, have, help, help, ensure, say, legalise, care",11 hectares
36,https://www.nyasatimes.com/malawi-airport-police-intercepts-ukraine-bound-cannabis/,www.nyasatimes.com,Cannabis,"Malawi airport police intercepts Ukraine bound CannabisFebruary 3, 2017 Malawi News Agency 3 CommentsKamuzu International Airport (KIA) Police says it intercepted two giraffe curios stuffed with Indian Hemp (Chamba) addressed to a recipient in Ukraine.
Siezed items at Kamuzu International Airport
Public Relation Officer for KIA Police, Sgt. Sapulain Chitonde, confirmed the development saying the consignment was sent to Air cargo Offices by one, Robert Ng’ombe, through Limbe Post Office and that the concealed drug was illegally being exported to Nauki, Ukraine.
He said the two giraffe curios weighed 3.5 kg each and that their contents were revealed when two wooden trophies went through screening on X RAY machine at air cargo offices.
However no arrest has been made so far, but the full particulars of the sender are still under investigation.
“Police officers on duty noted that there were some items inside the curios and they immediately informed CID Drug Officers who upon checking confirmed that both curios contained Cannabis sativa,” Chitonde said.
He added that enquiries were underway to trace the culprit and that if arrested the suspect would be charged with Illegal Exportation of Dangerous Drugs (Cannabis sativa) contrary to Section 11(a) as read with Regulation 19 of the Dangerous Drugs Act.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempKamuzu International Airport",2017-02-03 00:00:00,"bind, say, intercept, stuff, address, confirm, say, send, conceal, export, say, weigh, reveal, go, screen, make, note, be, inform, check, confirm, contain, say, add, trace, arrest, charge, read, care",3.5 kg
38,https://mwnation.com/nkhotakota-police-seize-zim-bound-cannabis/,mwnation.com,Cannabis,"Nkhotakota Police seize Zim-bound cannabisby Davie mchinga 03/09/2019 in National News 2 min read
0Police in Nkhotakota on Saturday seized cannabis sativa weighing 1 848 kilogrammes (kgs) which was reportedly being smuggled to Zimbabwe.
Nkhotakota Police Station deputy spokesperson Paul Malimwe confirmed the interception of the illicit drug, saying two Zimbabwean nationals have so far been arrested.
He said the contraband was seized from a truck at the boma which was coming from Dwangwa and was being driven by 42-year-old Forward Mudekwa and his compatriot Emmanuel Chisandule, 24.
The seized cannabis sativa bags
He said: “The suspects were driving a freight-liner truck registration number AEU 4032/AAZ 7049 which was coming from Dwangwa heading back to Zimbabwe using the M5.”
Malimwe added that police received a tip-off that the truck had carried the illicit drug concealed in the container.
“Upon arrival at Nkhotakota Boma, police conducted a thorough search and found 66 bags of chamba weighing 28 kgs each,” he said.
The suspects are expected to appear in court soon to answer to counts of being found in possession of cannabis sativa.",2019-03-09 00:00:00,"seize, bind, read, seize, weigh, smuggle, confirm, say, arrest, say, seize, come, drive, seize, bag, say, drive, come, head, use, add, receive, carry, conceal, conduct, find, weigh, say, expect, appear, answer, find",1 848 kilogrammes 28 kgs
