,link,site,category
0,https://times.mw/malawi-cannabis-gets-10-million-market/,times.mw,Cannabis
1,https://times.mw/cannabis-could-fetch-k180m-ha/,times.mw,Cannabis
2,https://times.mw/minister-for-cannabis-production-legalisation/,times.mw,Cannabis
3,https://www.nyasatimes.com/mzuni-in-research-for-industrial-and-medicinal-cannabis/,www.nyasatimes.com,Cannabis
4,https://www.nyasatimes.com/cannabis-investors-woo-malawi-on-industrial-hemp/,www.nyasatimes.com,Cannabis
5,https://times.mw/cannabis-licencing-fees-under-review/,times.mw,Cannabis
6,https://www.nyasatimes.com/op-ed-will-cannabis-legalisation-in-malawi-save-mutharika/,www.nyasatimes.com,Cannabis
7,https://www.nyasatimes.com/malawi-cannabis-regulatory-body-issues-86-licences-for-industrial-hemp-cultivation/,www.nyasatimes.com,Cannabis
8,https://www.nyasatimes.com/women-of-vision-harvests-first-cannabis-grain/,www.nyasatimes.com,Cannabis
9,https://www.nyasatimes.com/usca-salutes-women-cannabis-growers-of-kasungu/,www.nyasatimes.com,Cannabis
10,https://times.mw/tag/cannabis-regulatory-authority/,times.mw,Cannabis
11,https://www.nyasatimes.com/cannabis-to-bring-fresh-economic-growth-to-malawi-says-minister-nankhumwa/,www.nyasatimes.com,Cannabis
12,https://www.nyasatimes.com/malawi-cannabis-regulator-for-growing-2-varieties-chamba-remains-illegal-to-cultivate/,www.nyasatimes.com,Cannabis
13,https://times.mw/authority-canada-firm-in-cannabis-production-deal/,times.mw,Cannabis
14,https://times.mw/cannabis-license-fees-attract-mixed-reactions/,times.mw,Cannabis
15,https://times.mw/cannabis-company-fails-to-roll-out/,times.mw,Cannabis
16,https://www.nyasatimes.com/malawi-government-urges-cannabis-growers-to-form-cooperatives/,www.nyasatimes.com,Cannabis
17,https://www.zodiakmalawi.com/nw/national-news/65-news-in-central-region/4076-us-cannabis-company-gender-minister-attempt-to-polish-tyson-s-profile,www.zodiakmalawi.com,Cannabis
18,https://times.mw/multinational-hails-cannabis-industry/,times.mw,Cannabis
19,https://www.nyasatimes.com/truck-driver-arrested-charged-with-possessing-cannabis/,www.nyasatimes.com,Cannabis
20,https://www.nyasatimes.com/cannabis-association-training-87-graduate-interns-to-capacitate-smallholder-farmer-cooperatives-to-produce-best-cannabis/,www.nyasatimes.com,Cannabis
21,https://times.mw/mdf-in-partnership-to-grow-cannabis/,times.mw,Cannabis
22,https://www.nyasatimes.com/cso-protests-appointment-of-sex-offender-as-malawis-cannabis-brand-ambassador/,www.nyasatimes.com,Cannabis
23,https://times.mw/cannabis-licencees-yet-to-start-production/,times.mw,Cannabis
24,https://times.mw/tag/cannabis/,times.mw,Cannabis
25,https://www.nyasatimes.com/officials-meet-over-uproar-on-cannabis-fees-as-malawi-set-to-start-commercial-production/,www.nyasatimes.com,Cannabis
26,https://times.mw/cannabis-authority-short-of-k2-1-billion/?amp=1,times.mw,Cannabis
27,https://times.mw/malawi-ready-for-cannabis-output/,times.mw,Cannabis
28,https://www.nyasatimes.com/cra-calls-for-structured-markets-for-cannabis-growers/,www.nyasatimes.com,Cannabis
29,https://mwnation.com/expert-urges-legalisation-of-cannabis/,mwnation.com,Cannabis
30,https://www.nyasatimes.com/israeli-company-in-malawi-for-possible-industrial-hemp-investment/,www.nyasatimes.com,Cannabis
31,https://www.nyasatimes.com/industrial-crop-association-excited-with-certificates-awarded-to-first-cannabis-producers/,www.nyasatimes.com,Cannabis
32,https://www.nyasatimes.com/malawi-lauded-for-legalising-cannabis-nankhumwa-says-govt-to-sensitise-masses/,www.nyasatimes.com,Cannabis
33,https://www.mwnation.com/firm-wants-speedy-rollout-of-cannabis-law/,www.mwnation.com,Cannabis
34,https://mwnation.com/parliament-enacts-cannabis-bill/,mwnation.com,Cannabis
35,https://times.mw/cannabis-fees-debate-rages/?utm_source=rss&utm_medium=rss&utm_campaign=cannabis-fees-debate-rages&amp=1,times.mw,Cannabis
36,https://mwnation.com/mps-pass-cannabis-law/,mwnation.com,Cannabis
37,https://www.nyasatimes.com/medical-drug-factory-to-be-constructed-in-lilongwe/,www.nyasatimes.com,Cannabis
38,https://www.zodiakmalawi.com/nw/national-news/66-news-in-southern-region/4211-cannabis-farming-facing-hiccups,www.zodiakmalawi.com,Cannabis
39,https://times.mw/tag/usca/,times.mw,Cannabis
40,https://www.nyasatimes.com/police-impound-surgical-medical-drugs-cannabis/,www.nyasatimes.com,Cannabis
41,https://www.nyasatimes.com/malawi-airport-police-intercepts-ukraine-bound-cannabis/,www.nyasatimes.com,Cannabis
42,https://www.nyasatimes.com/expert-tip-malawi-chamba-growers/,www.nyasatimes.com,Cannabis
43,https://mwnation.com/nkhotakota-police-seize-zim-bound-cannabis/,mwnation.com,Cannabis
44,https://www.nyasatimes.com/industrial-hemp-medicinal-cannabis-to-roll-out-in-malawi-soon-mitc/,www.nyasatimes.com,Cannabis
45,https://times.mw/tag/cannabis-sativa/,times.mw,Cannabis
46,https://times.mw/poster-boy-mike-tyson/,times.mw,Cannabis
47,https://www.mwnation.com/house-allows-industrial-hemp-bill-drafting/,www.mwnation.com,Cannabis
48,https://www.nyasatimes.com/malawi-court-fines-woman-k60-000-for-possessing-cannabis/,www.nyasatimes.com,Cannabis
49,https://www.nyasatimes.com/malawi-industrial-medicinal-hemp-cultivation-begins/,www.nyasatimes.com,Cannabis
50,https://www.nyasatimes.com/tag/cannabis-regulatory-authority-cra/,www.nyasatimes.com,Cannabis
51,https://www.zodiakmalawi.com/nw/business-news/22-business/1518-covid-19-halts-cannabis-investor-s-preps,www.zodiakmalawi.com,Cannabis
52,https://www.nyasatimes.com/police-impound-16-bags-of-hemp-in-nkhata-bay/,www.nyasatimes.com,Cannabis
53,https://www.zodiakmalawi.com/nw/news-in-brief/61-news-in-brief/4205-cannabis-farming-facing-technical-financial-challenges,www.zodiakmalawi.com,Cannabis
54,https://times.mw/mps-key-to-chamba-use-in-malawi/,times.mw,Cannabis
55,https://times.mw/tag/invergro/,times.mw,Cannabis
56,https://www.nyasatimes.com/industrial-hemp-growers-threaten-malawi-govt-with-lawsuit/,www.nyasatimes.com,Cannabis
57,https://www.zodiakmalawi.com/nw/national-news/tag/cannabis,www.zodiakmalawi.com,Cannabis
58,https://www.nyasatimes.com/5-things-you-need-to-know-about-cbd-oil-derived-from-cannabis-now-legal-in-south-africa/,www.nyasatimes.com,Cannabis
59,https://times.mw/zimbabwe-to-legalise-industrial-hemp/,times.mw,Cannabis
60,https://www.nyasatimes.com/malawian-hit-headlines-in-ireland-for-taking-marijuana-to-police-to-complain-not-of-good-quality/,www.nyasatimes.com,Cannabis
61,https://www.nyasatimes.com/legal-status-of-hemp-in-malawi-how-govt-decides-which-drugs-are-regulated-or-banned/,www.nyasatimes.com,Cannabis
62,https://www.nyasatimes.com/tag/industrial-hemp/,www.nyasatimes.com,Cannabis
63,https://www.nyasatimes.com/malawi-police-nab-rasta-man-over-hemp-bid-to-legalise-weed/,www.nyasatimes.com,Cannabis
64,https://www.nyasatimes.com/3-kasungu-women-arrested-over-chamba/,www.nyasatimes.com,Cannabis
65,https://www.zodiakmalawi.com/spnws/sports-news/tag/Cannabis%20Regulatory%20Authority,www.zodiakmalawi.com,Cannabis
66,https://www.nyasatimes.com/malawi-should-legalise-indian-hemp-researcher/,www.nyasatimes.com,Cannabis
67,https://www.nyasatimes.com/police-uncovers-over-1000kgs-of-indian-hemp/,www.nyasatimes.com,Cannabis
