,Unnamed: 0,link,site,category,article
0,0,https://times.mw/malawi-cannabis-gets-10-million-market/,times.mw,Cannabis,"Home/Business/Malawi cannabis gets $10 million market
Business
Malawi cannabis gets $10 million market
Justin Mkweu
November 19, 2021
1,139 Less than a minuteAdvertisement
The United States Cannabis Association (USCA) has committed $10 million (about K8.2 billion) to the purchase of industrial hemp, from some 50 licensed cooperatives across the country.
The association is expected to purchase 229,000 metric tonnes of the commodity yearly to be processed for different purposes in the United States.
In an interview, USCA Chief Executive Officer Wezi Ngalamira said the association will be buying cannabis at $80 per kilogramme for flowers and $2 per kilogramme for the grain.
Advertisement
“We are not middlemen but we are here to provide a guaranteed market which will purchase the leaf for processing. When we harvest flowers, we have already started the processing phase; therefore, the country’s industry will also benefit greatly,” Ngalamira said.
Womeecin Mulanje Farmers Limited Treasurer Robisa Inglis said they have been fully equipped with knowledge on cultivation of the crop and hopes to maximise earnings from the same.
“This ready market provided by USCA has increased our confidence to cultivate cannabis in high volumes. At first, we did not know who would buy our crop when we cultivate it but now we are glad that the buyers are ready to buy us at good prices,” Inglis said.
Advertisement
Industrial and medicinal cannabis was legalised last year after the Cannabis Regulatory Authority was formed.
Facebook Notice for EU! You need to login to view and post FB Comments!
Justin Mkweu
Justin Mkweu is a fast growing reporter who currently works with Times Group on the business desk.
He is however flexible as he also writes about current affairs and national issues.
Advertisement
Tags
Cannabis Regulatory Authority
Usca
Wezi Ngalamira"
1,1,https://times.mw/cannabis-could-fetch-k180m-ha/,times.mw,Cannabis,"Home/Business/‘Cannabis could fetch K180m/ha’
Business
‘Cannabis could fetch K180m/ha’
Feston Malekezo
October 28, 2021
1,019 1 minute readAdvertisement
CHONGWE—We hope that the figures we are getting from other countries will be a benchmark
One of the cannabis buyers, United States Cannabis Association (Usca), has hinted that one hectare of cannabis could fetch up to K180 million from an investment of around K25 million to K30 million on a hectare.
The cannabis buyer said the cost analysis is based on prices sourced from countries such as Lesotho which is doing well with the crop.
Usca Director of Operations Oliver Ndhlovu said, if properly cultivated, farmers could produce around eight to 10 tonnes of cannabis per hectare and get around $5,000 per kilogramme.
Advertisement
Ndhlovu made the remarks on Tuesday in Mzimba District during a land verification exercise of cannabis fields of cooperatives, companies and partnerships who have registered to plant the crop this year.
“We are doing our own analysis as Malawi. We are working with Cannabis Regulatory Authority (CRA), Ministry of Agriculture and Invergro, which is an experienced company dealing with cannabis,” he said.
Figures show that, for one hectare, farmers require K8.8 million for a packet of 20,000 seeds.
Advertisement
On the onset, farmers require cultivation, processing or transportation lincence, police clearance, a greenhouse at the farm, reliable water source, labour and security plan that would prevent access to industrial hemp premises by unauthorised persons.
Meanwhile, some farmers have started raising fears over what they describe as stiff regulations in the cultivation of the leaf.
One of the farmers, Paul Chongwe, who is Chairperson of the United Organic Producers Cooperative, said most farmers were still not aware how much the commodity could be fetching.
The cooperative has 105 members, three farms, with 155 cumulative hectares.
“We are also still looking at what a hectare might bring in terms of rewards. But since the crop is new in Malawi, we hope that the figures we are getting from other countries will be a benchmark for us,” he said.
Malawi legalised cultivation of industrial and medicinal Cannabis Sativa in July 2020 which saw the establishment of CRA to regulate the cannabis industry as provided for in the Cannabis Regulation Act 2020.
Facebook Notice for EU! You need to login to view and post FB Comments!
Feston Malekezo
Advertisement
Tags
Cannabis Regulatory Authority
Invergro
Usca"
2,2,https://times.mw/minister-for-cannabis-production-legalisation/,times.mw,Cannabis,"Home/Business/Minister for cannabis production legalisation
Business
Minister for cannabis production legalisation
Chimwemwe Mangazi
June 29, 2022
445 1 minute readAdvertisement
Lobin Lowe
Minister of Agriculture Lobin Lowe has indicated that his ministry plans to ask Parliament to amend some laws to allow production of local cannabis varieties to maximise export earnings.
This comes at a time the country has been debating over a recent conviction of an 18-year-old boy in Blantyre who was found in possession of cannabis and handed an eight-year jail term.
However, the cannabis Regulation Act 2020 promotes production of Cannabis only for medicinal, industrial and scientific use and does not in any manner advocate, authorise, promote or legally or socially accept the use of cannabis for recreational uses.
Advertisement
In an interview on the side-lines of a visit to commercial tobacco growers in the Southern Region, Lowe said, as Parliament meets this July, issues prohibiting production of the local varieties will be discussed.
“There was a lot of hype when we introduced production of industrial hemp such that we thought most farmers will drop growing regular tobacco to this variety; unfortunately, cannabis is also market-oriented just like tobacco. Unless we get demand, that is when we know how much to produce. So, the demand we have as a starting point is just too little.
“We are trying to promote some investors and off-takers to come to Malawi to make sure that whatever we produce is all bought. We also talked about our local variety and there are issues with our laws. Come July, once Parliament meets, we should be able to sort out issues in the Act to make sure that our local variety is also produced,” Lowe said.
Advertisement
In a recent interview, the ministry’s spokesperson Grecian Lungu indicated that the research department was tasked to look into the necessities of producing the local variety widely.
“There is progress as collection of strains of our local cannabis is on-going, but I cannot confirm as to when the studies will be concluded,” Lungu said.
In an interview, agriculturalist Leonard Chimwaza wondered about the aim of legalising production of local cannabis varieties claiming the economic value could be the same as that of industrial hemp.
“While conducting research, there is a need to incorporate stakeholders from various sectors such as those from the health ministry, the police and other necessary sectors; they should not only focus on the economic value. Also, does it mean that the local cannabis varieties are more economical than industrial hemp? So what are their assumptions and what is the composition of the research committee? That is crucial,” Chimwaza said.
Facebook Notice for EU! You need to login to view and post FB Comments!
Chimwemwe Mangazi
Advertisement
Tags
Cannabis Production"
3,3,https://www.nyasatimes.com/mzuni-in-research-for-industrial-and-medicinal-cannabis/,www.nyasatimes.com,Cannabis,"Mzuni in research for industrial and medicinal cannabisJuly 7, 2022 Phillip Pasula-Nyasa Times Be the first to commentMzuzu University has embarked on an important research project to test samples of industrial and medicinal cannabis to assess the effectiveness of some varieties in the industrial and health sectors.
Head of Chemistry Department, John Kamanula, told the local media that the university was working with the Cannabis Regulatory Authority (CRA) and other stakeholders in the research project.
Mzuzu University
Kamanula added that most of the chemicals used when testing the cannabis varieties are very expensive and that the university needs enough support.
“They are bringing different varieties of cannabis and then for them to know the one that is marketable, you have to do the chemistry. Based on the chemistry, then they can know the quality of the varieties they have that can fetch the market prices,” explained Kamanula.
The research is also involving Chemistry students at the university and one company working with the university has called for collaboration in raising awareness on cannabis and its potential to national development.
Chief Executive Officer, Tania Clerk, emphasised the importance of the research.
“We should put aside some funding and engage the academia to access what role they can play in the development of the industry. We have to recognise that this is something that has to be nurtured,” remarked Clerk.
Malawi passed and accented the Cannabis Act in 2020.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print"
4,4,https://www.nyasatimes.com/cannabis-investors-woo-malawi-on-industrial-hemp/,www.nyasatimes.com,Cannabis,"Cannabis investors woo Malawi on Industrial hempOctober 30, 2018 Owen Khamula - Nyasa Times 13 CommentsA group of investors on industrial hemp are in the country to lobby the government make regulations which would allow the investors get licence to buy cannabis from the country considered to have economic, medical and nutritional value.
Invegrow Limited, a company that was established in 2013 designed to grow and process Industrial Hemp in the country, plans to start commercial growing of the crop this year.
A South Africa based Canadian cannabis investor Graham Macntosh from Green Quest Pharmaceuticals said Malawi is losing out in cannabis trade.
He said Green Quest Pharmaceuticals is looking for 50 000 hectare of land to grow the industrial hemp used in the manufacturing of certain goods including clothes as well as medicine.
“Everyone should be allowed to grow cannabis without any legal impingements from a small one hectare to 101 hectare of land,” he said.
The cannabis investor said industrial hemp can take over tobacco as the largest forex earner, saying tobacco is now facing smoky future whilst cannabis faces bright future in investments.
Macntosh said currently, cannabis is a US$7 billion investment worldwide, saying within a year, it is expected to grow to US$10 billion.
Ntchisi north MP Boniface Kadzamira said although parliament legalized the testing of industrial hemp, which have since been done at Chitedze Research Station in Lilongwe and Chitala in Salima, cannabis remains illegal in Malawi.
He said to push the legalization on fast track, the government can put in regulations to allow people grow industrial hemp and investors get licence to buy the cannabis from Malawian farmers.
While cultivation or selling of cannabis sativa is prohibited by law, government says the industrial hemp will help boost the economy.
Industrial hemp and marijuana are from the same family of crops but industrial hemp does not contain the psychoactive chemical agents found in marijuana.
Meanwhile, Invegrow Limited, a company that was established in 2013 designed to grow and process Industrial Hemp in the country, plans to start commercial growing of the crop this year.
The firm, which has been working with government to research the viability of hemp as a commercial crop, has started mobilising resources for its factory in Lilongwe.
“Industrial hemp has more economic opportunities as we will be extracting the oil for fibre from the seed and produce oil products and it is also edible,” said Director at Invegrow Limited, Nebert Nyirenda, who adds that last year, the company imported body wash, shampoo and face wash with hemp seed oil just to give Malawians a feel of the products from Industrial Hemp.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Indian hempInvegrow Limited"
5,5,https://times.mw/cannabis-licencing-fees-under-review/,times.mw,Cannabis,"Home/Business/Cannabis licencing fees under review
Business
Cannabis licencing fees under review
Times News
4 weeks ago
386 1 minute readAdvertisement
Betchani Tchereni
By Thabi Kamwangala:
The Cannabis Regulatory Authority (CRA) has said it will review industrial hemp licencing fees at its next board meeting.
This comes as local potential investors have been lamenting over the issue of ‘exorbitant’.
Advertisement
The industrial hemp licencing fee stands at K1.7 million including a non-refundable processing fee of K500, 000 while the medicinal hemp licencing fee is K9 million, with a non-refundable processing fee of K1 million.
CRA Board Chairperson Boniface Kadzamira said in an interview that the review is part of the board’s top agenda for its next meeting.
“We noted that, when we released the fees, people complained, saying that the fees are too high. As such, we have taken the complaints into consideration and we will be reviewing them soon.
Advertisement
“We must point out that we will only review the industrial hemp licencing fees and not medicinal licencing fees,” Kadzamira said
He said the nature of medicinal hemp was taken into account when considering the fees.
“It is difficult to reduce medicinal hemp licencing fees because, if abused, it could have negative effects. So, we will not review this [fee] until we review if people will stick to the agreements; whereas for industrial hemp, it can be treated as an agricultural plant.” He said
Meanwhile, CRA and some players in the industry have said that Cannabis has potential to contribute substantially to national economic development.
Founder of Invegrow, a local medicinal and industrial cannabis producer, Tanya Clarke, said the industry has great potential.
“For most people, there is still a misconception about the crop but it is important to make people aware that there are different products, both medicinal and industrial, that can be made from the product. It is not just for smoking. So, there is certainly a need for awareness and sensitisation on the crop,” he said.
Economist from the Malawi University of Business and Applied Sciences Betchani Tchereni said, as the economy faces forex woes, intensified production of alternative export crops such as cannabis remains ideal.
“Improved cannabis industry would mean more foreign exchange, more jobs and industrialisation for the country. So it is a huge opportunity,” he said.
Parliament enacted the Cannabis Act in February 2020, after seven years of attempts to get it up and running. In April 2020, the bill was assented to and in September 2020 the CRA was formulated.
Facebook Notice for EU! You need to login to view and post FB Comments!
Times News
Advertisement
Tags
” he said. Kuyeri said the engagement was meant to update customers on the new 4G technology which the firm has brought to the market
Cannabis Regulatory Authority
compromised. “Our customers should not be worried with these issues because the new investor will help the company grow by investing in new technologies and
it will be paid by then
moving away from the Wimax technology which it was offering. He said although the technology has delayed compared to other players on the market
on the debt
we have discussed with Macra and they have given us up until June next year to pay the debt; so"
6,6,https://www.nyasatimes.com/op-ed-will-cannabis-legalisation-in-malawi-save-mutharika/,www.nyasatimes.com,Cannabis,"OP-Ed: Will Cannabis legalisation in Malawi save Mutharika?March 21, 2020 Rejoice Mthengo 4 CommentsAs we write this article, President Peter Mutharika still holds power in Malawi. He looks likely to hold onto that power by any means necessary. He’s refused to fire Malawi Electoral Commission commissioners, he’s refused to ratify bills that would allow a new election to take place, and he’s fired the commander of the defense force and the entire cabinet. There is significant political feeling against him in the country, but for now at least it appears that he’ll be staying in his position whether people like him or not.
Malawi looks to industrial hemp crop to increase foreign earnings
Even if we assume that he’ll be able to hold onto his position in the short term, though, he will eventually come to a point where elections need to be held, and his ultimate fate will be placed into the hands of the people. If that election were held today, the overwhelming majority of polls suggest he’d lose and lose badly. Could anything happen between now and the eventual date of the next election to change that, though?
What could the President do to get the public behind him, and increase his chances of staying in office? Could the decision to legalize cannabis in Malawi that was taken last month ultimately prove to be the one that saves him?
Over the course of the past year, we’ve seen Malawi open itself up to new sources of income associated with habits that people have long seen as vices. Cannabis use is one. Gambling is another. Late last year, the Malawi Gaming Board began to accept proposals for new casinos in the country in a move that could eventually see the legalization of online slots websites in Malawi.
The existing laws that govern gambling in the country are unclear, and so although citizens have access to online slots UK, nobody knows whether or not anyone’s breaking the law by playing them. By opening up more casinos and making the legality of those online slots websites clear, Malawi could make billions of Kwacha every year. That would be a great boost to the economy – but the boost that may come from sales of medicinal marijuana could be even bigger.
It’s unfair to compare Malawi to the United States of America due to the difference in size between the countries, and the vast differences between the Malawian economy and the American economy. We can, however, look at the effect that legalizing cannabis in certain states has had in the USA. The state of Colorado alone passed one billion dollars in revenue from marijuana sales in the middle of last year, and that figure is thought to have increased significantly since.
Some estimates from respectable forecasters suggest that by the end of 2023, the total revenue from all cannabis sales in the USA will have passed thirty billion dollars. Such a figure is unthinkable for Malawi, but the numbers don’t have to be that high for there to be a clear and obvious boost to the economy at home.
A healthy economy isn’t everything when it comes to the popularity of a President, or for the prospects of that President successfully standing for election, but it definitely helps. When there’s more money in the public purse, there’s more to spend on public services. That means better roads, better hospitals, better schools, and investment in labor.
When the Government can pay for expansion, that expansion brings more jobs, and more families are lifted away from poverty and toward prosperity. Not every voter will forgive Mutharika for his current perceived transgressions just because they’re earning more money than they used to, and life has become more comfortable, but a comfortable electorate is a lot more likely to stick with the status quo than an angry one.
The connection between an expanding cannabis industry and work becoming available to Malawians is an obvious one. More than eighty percent of the workers in Malawi are employed by the agriculture industry. At the moment, the overwhelming majority of those people work in tobacco. Those tobacco jobs will still be required, and so more people will have to be employed in order to harvest cannabis and prepare it for sale.
In a country that’s still identified by the World Bank as one of the poorest on the planet, that can only be a good thing. There is still more work to be done to ensure that employees are paid a fair wage and aren’t exploited by their employers, but having some income is better than having no income at all, and that’s likely to be the line that the Government uses to sell these new employment opportunities to the public.
None of this will be music to the ears of Lazarus Chakwera, who has never been convinced about the legitimacy of the most recent election and would like to see a new one happen as soon as possible – perhaps even as early as May this year.
Should that happen, it wouldn’t be against the odds for him to improve on his 38% share of the vote last time around. He might even dare to dream of going beyond that and securing 50%, thus fulfilling one of the proposed requirements for electing any new President in the future regardless.
It’s unlikely that the President had any of this in his mind when he first signed the papers that legalized the sale of Malawian cannabis. At that time, he was probably only thinking of increasing the country’s revenue and creating more jobs within his country.
He probably didn’t imagine that it was the masterstroke that would keep him in power when everything else seemed to be going against him. This is a strange world, though, and we’re living in strange times. Somewhat improbably, a combination of COVID-19 and cannabis sales might turn out to be what keeps Mutharika in his office for the foreseeable future.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
industrial hemp"
7,7,https://www.nyasatimes.com/malawi-cannabis-regulatory-body-issues-86-licences-for-industrial-hemp-cultivation/,www.nyasatimes.com,Cannabis,"Malawi Cannabis regulatory body issues 86 licences for industrial hemp cultivationApril 9, 2021 Owen Khamula - Nyasa Times 4 CommentsOfficials from the Cannabis Regulatory Authority (CRA) say they have issued 86 licenses to 35 companies and cooperatives to venture into cannabis cultivation for industrial hemp production.
Kadzamira (c) says only 35 companies satisfied the requirements.
Board chairperson of CRA, Boniface Kadzamila, announced Friday  afternoon in Lilongwe.
Kadzamira said that a total of 41 companies applied but only 35 companies satisfied the requirements.
He said so far, the authority has issued licenses for cultivation, processing and storage and has not yet issued any license for export.
Cannabis production is bringing hope in the economy that it will complement tobacco, the country’s main source of foreign exchange.
Figures show that over a 10-year period, earnings from tobacco have dropped by about 45 percent.
A recent analysis by Invegrow Limited, one of the firms that conducted research on industrial hemp,found that a kilogramme of industrial hemp could fetch about K32 000 on the market and that there is potential for direct annual benefit to Malawians in excess of K3 billion on 16.5 hectares or K195 million per five hectares.
The analysis further indicated that the crop has ready markets whose global value chain is worth about $9 billion (about K6. 6 trillion), giving local investors a basis to take up cannabis production.
The Licensed Organizations are Medigrow, Malawi Mangoes, Africa Gold Ltd, Ortusol Ltd, SADM, Tilimenawo Cannabis Club, Unity Cooperative, Banana 2017, Hempharmaceuticals, ARET, Cannasun Ltd, SABA Agro Ltd, Sikelela Commodities Ltd, Lesta International, Profix eco-Industries Ltd, Bio Sil Technology Africa Limited, B&M Landscaping & General, Greenway, Med-Can Ltd, Organic Cannabis Farmers Cooperative, AKA, Kuwala Agriculture Ltd, Prime Pharmaceuticals, M’mbwelwa Investment Limited, Pharmanova, Dynamic Traders, Capital Food Ltd, Bio-lab Agencies, Milanzi Holdings, Pollen Farm Limited, Women in Vision, Mg Labs Limited, College of Medicine and Rasmusking Company Limited.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print
Boniface Kadzamiraindustrial hemp"
8,8,https://www.nyasatimes.com/women-of-vision-harvests-first-cannabis-grain/,www.nyasatimes.com,Cannabis,"Women of Vision harvests first cannabis grainFebruary 14, 2022 Tiwonge Kumwenda Mhango -Nyasa Times 4 CommentsWomen of Vision Cannabis Growers, which is one of the cooperatives under the United States Cannabis Association (USCA) , has harvested its first  new “gold” crop,  cannabis in its mega farm in Kasungu district.
The development attracted the attention of Cabinet ministers, Principal Secretaries (PSs), senior traditional leaders and other senior government officials who came to inspect the progress of the project on Saturday.
Women of vision have now seen the first Canabis grain
USCA Chief Executive Officer Wezi Ngalamira, without disclosing the amount of harvest, said the Women of Vision Growers are now planting second crops.
According to Ngalamira, the second crop is in-door plantation that needs extra lights even during night hours.
In order to make sure that it does not miss its target, Women of Vision Growers has already put in place all needed materials and structures.
Amongst them include security structures, greenhouses, irrigation system, which includes a dam, solar energy panels and batteries, which can provide power to 1, 200 bulbs.
The group has also constructed houses for its workers. The Minister of Agriculture, Lobin Lowe, expressed satisfaction after the inspection.
Lowe said if all cooperatives would follow Women of Vision Growers’ footsteps, the country would benefit a lot from the modern “gold” crop.
The Minister of Gender Patricia Kaliati encouraged women in the country to learn from Women of Vision Cannabis Growers saying the group has put Malawian women on the map.
In his remarks, the Cannabis Regulatory Authority (CRA) Board Chairperson, Boniface Kadzamila, said the first harvest by Women of Vision Growers has proven that the country will meet its target.
Women of Vision Growers, which is a group of 14 women who cultivate the industrial hemp, has a mega farm in Chinsinga Village in Traditional Authority Nyaza in the district.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print"
9,9,https://www.nyasatimes.com/usca-salutes-women-cannabis-growers-of-kasungu/,www.nyasatimes.com,Cannabis,"USCA salutes women cannabis growers of KasunguJanuary 18, 2022 Tiwonge Kumwenda Mhango -Nyasa Times Be the first to commentThe United States Cannabis Association (USCA) has saluted a group of women who cultivate cannabis in Kasungu under the banner of Women of Vision Cannabis Growers.
The group has a mega farm in Chinsinga Village in Traditional Authority Nyaza in the district.
The group has already started creating job opportunities for the locals, a development that has excited USCA.
Speaking to Nyasa Times over the weekend, USCA chief executive officer, Wezzie Ngalamila, said she expects other cooperatives to learn from Women of Vision Cannabis Growers.
Ngalamila said her organization is doing everything to make sure that all cannabis cooperatives are familiar with how to cultivate and take care of the Malawian new gold crop.
USCA then donated five greenhouses to the group and named it as a cannabis farm learning center.
Ngalamila further disclosed that her organization is ready to support any cooperative facing any problem in the process.
The group said they have so far recruited security personnel from within the surrounding area apart from engaging some villagers in different activities at their farm.
The Cannabis Regulatory Authority (CRA) chairperson, Boniface Kadzamira, urged all cooperatives to follow the advice on cannabis production.
Kadzamira said Malawi stands to benefit from the certified industrial hemp despite poor rains.
Follow and Subscribe Nyasa TV :
Sharing is caring!
0
SHARES
Share
Tweet
Pin
LinkedIn
Email
Print"
